# t_m M M/M0 (M-M1)/M0
7.236553422869657212e-04 2.233649587855214122e+04 2.432690986575253983e-02 2.295051977180281172e-02
7.520629269592406588e-04 1.963442994497145992e+04 2.138406176751276450e-02 2.000767167356303985e-02
7.815856707684091381e-04 1.719913793935052308e+04 1.873175992752655269e-02 1.735536983357682805e-02
8.122673500479711669e-04 1.501539296804343212e+04 1.635342057762931983e-02 1.497703048367959346e-02
8.441534596012984729e-04 1.306748471054705988e+04 1.423193344444068434e-02 1.285554335049095796e-02
8.772912801613356321e-04 1.133938892280946857e+04 1.234984635717979728e-02 1.097345626323007091e-02
9.117299484984922164e-04 9.814936509997054600e+03 1.068954938657365981e-02 9.313159292623933438e-03
9.475205302806537873e-04 8.477979092812094677e+03 9.233455164854758104e-03 7.857065070905033463e-03
9.847160957933774172e-04 7.312548048606195152e+03 7.964172099091065479e-03 6.587782005141338236e-03
1.023371798632519191e-03 6.303004155084767262e+03 6.864667349700240631e-03 5.488277255750514255e-03
1.063544957486011302e-03 5.434175199081639221e+03 5.918416701596612532e-03 4.542026607646886156e-03
1.105295141126020871e-03 4.691479230670388461e+03 5.109538801525142539e-03 3.733148707575417464e-03
1.148684256737553602e-03 4.061031534878876755e+03 4.422911662067778062e-03 3.046521568118052119e-03
1.193776641714435838e-03 3.529733846928314506e+03 3.844269826887772214e-03 2.467879732938046272e-03
1.240639159058831839e-03 3.085344836360876798e+03 3.360281135725810050e-03 1.983891041776084541e-03
1.289341296525714411e-03 2.716531412122679285e+03 2.958602601299229438e-03 1.582212507349503713e-03
1.339955269659338357e-03 2.412900934242036783e+03 2.627915491375676458e-03 1.251525397425950733e-03
1.392556128874461972e-03 2.165014936961923013e+03 2.357940274779330141e-03 9.815501808296046328e-04
1.447221870741134415e-03 1.964385452092325977e+03 2.139432617115731919e-03 7.630425231660061935e-04
1.504033553638023553e-03 1.803455450438518255e+03 1.964162079327986653e-03 5.877719853782610365e-04
1.563075417945815901e-03 1.675565276514347943e+03 1.824875561394074565e-03 4.484854674443489479e-04
1.624435010958865354e-03 1.574907224061392299e+03 1.715247830052538461e-03 3.388577361028128438e-04
1.688203316700362649e-03 1.496470578295834457e+03 1.629821663742231147e-03 2.534315697925056381e-04
1.754474890833459741e-03 1.435979531416423924e+03 1.563940235736621404e-03 1.875501417868959228e-04
1.823348000868440328e-03 1.389826362058525774e+03 1.513674339192549057e-03 1.372842452428235758e-04
1.894924771873821674e-03 1.355002163475807492e+03 1.475746942492768944e-03 9.935684854304325977e-05
1.969311337907421727e-03 1.329027220254325130e+03 1.447457361801475582e-03 7.106726785174995121e-05
2.046617999391989878e-03 1.309882884052594363e+03 1.426607066224613776e-03 5.021697227488814504e-05
2.126959386668689569e-03 1.295946502626738720e+03 1.411428808334705323e-03 3.503871438497985463e-05
2.210454629971021680e-03 1.285930632067504121e+03 1.400520419586248925e-03 2.413032563652329129e-05
2.297227536071151221e-03 1.278827428663088313e+03 1.392784246915438175e-03 1.639415296571263597e-05
2.387406771860646915e-03 1.273858791841870925e+03 1.387372852900789922e-03 1.098275895106428638e-05
2.481126055137767780e-03 1.270432528676341462e+03 1.383641274068668058e-03 7.251180118942387902e-06
2.578524352884273892e-03 1.268104545712086974e+03 1.381105843621191010e-03 4.715749671465354702e-06
2.679746087325689426e-03 1.266546853976687316e+03 1.379409345358807585e-03 3.019251409082069303e-06
2.784941350080644140e-03 1.265521002557377415e+03 1.378292079913551833e-03 1.901985963826207127e-06
2.894266124716749020e-03 1.264856435967651123e+03 1.377568293532018808e-03 1.178199582293295714e-06
3.007882518043098787e-03 1.264433198162741974e+03 1.377107340838821820e-03 7.172468890962270039e-07
3.125959000482278049e-03 1.264168376347344065e+03 1.376818920646653019e-03 4.288266969274151445e-07
3.248670655878374992e-03 1.264005683613029760e+03 1.376641730298399724e-03 2.516363486742103625e-07
3.376199441111336561e-03 1.263907612899433843e+03 1.376534920464704678e-03 1.448265149791797098e-07
3.508734455902711314e-03 1.263849647537148257e+03 1.376471789786046663e-03 8.169583632106685244e-08
3.646472223212745157e-03 1.263816077927723882e+03 1.376435228775441588e-03 4.513482571602101859e-08
3.789616980644716030e-03 1.263797042973814996e+03 1.376414497609257034e-03 2.440365953140679088e-08
3.938380983288488832e-03 1.263786483241969108e+03 1.376402996895527376e-03 1.290294580181542228e-08
4.092984818452437799e-03 1.263780756532060650e+03 1.376396759876232683e-03 6.665926507121610323e-09
4.253657732750387374e-03 1.263777722976177074e+03 1.376393455998983859e-03 3.362049258258447733e-09
4.420637972028529546e-03 1.263776154695643982e+03 1.376391747968351781e-03 1.654018626229439804e-09
4.594173134636476453e-03 1.263775364130759954e+03 1.376390886955918122e-03 7.930061925270990373e-10
4.774520538566126571e-03 1.263774975894074487e+03 1.376390464123308051e-03 3.701735823772189028e-10
4.961947603002903225e-03 1.263774790331724034e+03 1.376390262025422966e-03 1.680756974412738639e-10
5.156732244854963371e-03 1.263774704095140805e+03 1.376390168104263704e-03 7.415453815336243238e-11
5.359163290848514664e-03 1.263774665167293279e+03 1.376390125707540203e-03 3.175781472811971800e-11
5.569540905800130642e-03 1.263774648116707795e+03 1.376390107137570422e-03 1.318784482407447298e-11
5.788177037701273779e-03 1.263774640878106084e+03 1.376390099253933970e-03 5.304208450080230852e-12
6.015395880274832831e-03 1.263774637902907898e+03 1.376390096013614716e-03 2.063889176759329891e-12
6.251534353689711630e-03 1.263774636720371063e+03 1.376390094725701580e-03 7.759760167669760627e-13
6.496942604146118024e-03 1.263774636266404059e+03 1.376390094231281320e-03 2.815558329164041959e-13
6.751984523072501049e-03 1.263774636098291921e+03 1.376390094048188630e-03 9.846315626693469382e-14
7.017038286703822757e-03 1.263774636038316430e+03 1.376390093982868702e-03 3.314322526774779544e-14
7.292496916841444653e-03 1.263774636017730700e+03 1.376390093960448702e-03 1.072309222680993728e-14
7.578768863625922128e-03 1.263774636010942459e+03 1.376390093953055527e-03 3.329948297397654285e-15
7.876278611187054537e-03 1.263774636008794914e+03 1.376390093950716686e-03 9.910354046393553419e-16
8.185467307069021342e-03 1.263774636008144171e+03 1.376390093950007835e-03 2.823039383530397719e-16
8.506793416364153565e-03 1.263774636007955451e+03 1.376390093949802270e-03 7.676686042933537720e-17
8.840733401525063123e-03 1.263774636007903155e+03 1.376390093949745458e-03 1.981080269144138588e-17
9.187782428863330506e-03 1.263774636007889512e+03 1.376390093949730496e-03 4.952700672860346469e-18
9.548455102782293924e-03 1.263774636007886102e+03 1.376390093949726810e-03 1.238175168215086617e-18
